Species;Macroclimate;BIO1;BIO2;BIO3;BIO4;BIO5;BIO6;BIO7;BIO8;BIO9;BIO10;BIO11;BIO12;BIO13;BIO14;BIO15;BIO16;BIO17;BIO18;BIO19;"""bio20"""
myrtifolia;Warm Temperate;212.1899811;120.5759108;47.33228579;4916.182376;328.4280089;75.01713474;253.4108739;270.0323313;170.8019042;270.6953279;145.7281842;1297.935539;189.3159632;54.06131474;44.04733921;529.4778174;190.5852568;515.9260611;229.007565;338.8925606
nigra;Warm Temperate;199.792113;122.7757381;44.82626663;5671.006454;329.9357771;51.87017122;278.0656051;252.0497921;149.1399793;268.0942624;123.236861;1250.758524;183.0341172;52.16421031;42.07885163;503.1197162;185.7394509;472.6014898;219.7268568;317.3802653
oblongifolia ;Arid;163.6959397;160.1821556;48.67442167;6161.782643;331.5988583;5.280855303;326.3180033;235.8965373;185.4991811;242.7065344;86.76665167;524.4783942;128.7541585;6.020359091;80.59079667;294.201373;31.83539152;259.0696415;106.6522726;262.3659815
obtusata ;Winter-dry temperate to Tropical;180.2628592;146.136332;65.7858398;2073.260272;287.815174;66.53401051;221.2811639;195.3895109;165.9535681;203.7542848;151.0639409;972.0271781;215.7873982;7.42265398;95.24676898;582.5123249;30.70885704;339.3014865;53.22078837;551.8034679
ocoteifolia ;Winter-dry temperate to Tropical;169.4394121;118.6836791;71.45756302;1189.648757;248.3206343;83.15675038;165.1638828;177.3520917;156.5538562;181.8607021;152.04101;1545.669571;294.4591455;17.84116491;81.36932585;737.8315572;63.48889811;517.5871932;96.41209189;674.3426591
oglethorpensis;Warm Temperate;168.24763;134.0624645;40.47332545;7134.612262;328.5128718;1.654878636;326.8579932;100.3601473;188.0437123;257.5588486;73.45340773;1272.533937;136.2539405;75.40512409;17.34812773;379.7680864;245.9088045;316.1504141;356.0460936;133.8592819
oleoides;Winter-dry temperate to Tropical;187.435895;91.82177;74.891205;681.491005;251.24145;129.25189;121.989555;187.001115;187.28689;195.755895;178.47479;2244.832995;366.48198;25.10567;70.09777;991.359095;105.314005;489.92777;416.162105;886.04509
pacifica;Mediterranean;154.9347573;85.009415;51.32638909;2859.83971;241.6890868;77.68617727;164.0029086;129.5859145;184.4109273;194.9632791;124.4394514;348.7876532;72.52858273;0;94.37591636;202.4841559;2.384321364;5.552154091;178.4585186;200.0998345
pagoda;Warm Temperate;154.6506833;125.7431637;35.59879674;8109.901454;326.7870781;-24.36656605;351.1536437;138.0747079;185.9132574;255.3966284;45.60600047;1279.902462;139.366213;74.89983256;18.48389302;388.6398805;252.4157051;291.8787849;329.304096;136.2241754
palmeri;Arid;137.1193344;162.1593185;48.57695488;6193.798739;318.5966498;-13.00307171;331.5997193;136.9725427;181.5947017;219.8238539;63.44984171;454.3560727;79.06066878;5.622496098;64.39137707;211.5744712;30.66396902;94.42390634;172.5191659;180.9105022
